id,exception,Stacktrace
id_1102159051704672257_2019-03-03,,"Traceback (most recent call last):
  File ""/work/mburmest/bachelorarbeit/main.py"", line 175, in classify_model
    results = classify(video, first_prompts, *args)
  File ""/work/mburmest/bachelorarbeit/classification_pandagpt.py"", line 54, in classify_pandagpt
    response = model.generate({
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 279, in generate
    input_embeds = self.prepare_generation_embedding(inputs)
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 245, in prepare_generation_embedding
    feature_embeds = self.extract_multimodal_feature(inputs)
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 231, in extract_multimodal_feature
    video_embeds, _ = self.encode_video(inputs['video_paths'])
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 121, in encode_video
    inputs = {ModalityType.VISION: data.load_and_transform_video_data(video_paths, self.device)}
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/ImageBind/data.py"", line 360, in load_and_transform_video_data
    video_clip = frame_sampler(clip[""video""])
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/torch/nn/modules/module.py"", line 1194, in _call_impl
    return forward_call(*input, **kwargs)
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/pytorchvideo/transforms/transforms.py"", line 74, in forward
    return pytorchvideo.transforms.functional.uniform_temporal_subsample(
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/pytorchvideo/transforms/functional.py"", line 37, in uniform_temporal_subsample
    assert num_samples > 0 and t > 0
AssertionError
"
id_1103632030141689860_2019-03-07,,"Traceback (most recent call last):
  File ""/work/mburmest/bachelorarbeit/main.py"", line 175, in classify_model
    results = classify(video, first_prompts, *args)
  File ""/work/mburmest/bachelorarbeit/classification_pandagpt.py"", line 54, in classify_pandagpt
    response = model.generate({
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 279, in generate
    input_embeds = self.prepare_generation_embedding(inputs)
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 245, in prepare_generation_embedding
    feature_embeds = self.extract_multimodal_feature(inputs)
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 231, in extract_multimodal_feature
    video_embeds, _ = self.encode_video(inputs['video_paths'])
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 121, in encode_video
    inputs = {ModalityType.VISION: data.load_and_transform_video_data(video_paths, self.device)}
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/ImageBind/data.py"", line 360, in load_and_transform_video_data
    video_clip = frame_sampler(clip[""video""])
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/torch/nn/modules/module.py"", line 1194, in _call_impl
    return forward_call(*input, **kwargs)
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/pytorchvideo/transforms/transforms.py"", line 74, in forward
    return pytorchvideo.transforms.functional.uniform_temporal_subsample(
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/pytorchvideo/transforms/functional.py"", line 37, in uniform_temporal_subsample
    assert num_samples > 0 and t > 0
AssertionError
"
id_1106309828681650177_2019-03-14,,"Traceback (most recent call last):
  File ""/work/mburmest/bachelorarbeit/main.py"", line 175, in classify_model
    results = classify(video, first_prompts, *args)
  File ""/work/mburmest/bachelorarbeit/classification_pandagpt.py"", line 54, in classify_pandagpt
    response = model.generate({
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 279, in generate
    input_embeds = self.prepare_generation_embedding(inputs)
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 245, in prepare_generation_embedding
    feature_embeds = self.extract_multimodal_feature(inputs)
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 231, in extract_multimodal_feature
    video_embeds, _ = self.encode_video(inputs['video_paths'])
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 121, in encode_video
    inputs = {ModalityType.VISION: data.load_and_transform_video_data(video_paths, self.device)}
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/ImageBind/data.py"", line 360, in load_and_transform_video_data
    video_clip = frame_sampler(clip[""video""])
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/torch/nn/modules/module.py"", line 1194, in _call_impl
    return forward_call(*input, **kwargs)
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/pytorchvideo/transforms/transforms.py"", line 74, in forward
    return pytorchvideo.transforms.functional.uniform_temporal_subsample(
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/pytorchvideo/transforms/functional.py"", line 37, in uniform_temporal_subsample
    assert num_samples > 0 and t > 0
AssertionError
"
id_1107906875943612416_2019-03-19,,"Traceback (most recent call last):
  File ""/work/mburmest/bachelorarbeit/main.py"", line 175, in classify_model
    results = classify(video, first_prompts, *args)
  File ""/work/mburmest/bachelorarbeit/classification_pandagpt.py"", line 54, in classify_pandagpt
    response = model.generate({
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 279, in generate
    input_embeds = self.prepare_generation_embedding(inputs)
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 245, in prepare_generation_embedding
    feature_embeds = self.extract_multimodal_feature(inputs)
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 231, in extract_multimodal_feature
    video_embeds, _ = self.encode_video(inputs['video_paths'])
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 121, in encode_video
    inputs = {ModalityType.VISION: data.load_and_transform_video_data(video_paths, self.device)}
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/ImageBind/data.py"", line 360, in load_and_transform_video_data
    video_clip = frame_sampler(clip[""video""])
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/torch/nn/modules/module.py"", line 1194, in _call_impl
    return forward_call(*input, **kwargs)
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/pytorchvideo/transforms/transforms.py"", line 74, in forward
    return pytorchvideo.transforms.functional.uniform_temporal_subsample(
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/pytorchvideo/transforms/functional.py"", line 37, in uniform_temporal_subsample
    assert num_samples > 0 and t > 0
AssertionError
"
id_1110140673267851264_2019-03-25,,"Traceback (most recent call last):
  File ""/work/mburmest/bachelorarbeit/main.py"", line 175, in classify_model
    results = classify(video, first_prompts, *args)
  File ""/work/mburmest/bachelorarbeit/classification_pandagpt.py"", line 54, in classify_pandagpt
    response = model.generate({
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 279, in generate
    input_embeds = self.prepare_generation_embedding(inputs)
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 245, in prepare_generation_embedding
    feature_embeds = self.extract_multimodal_feature(inputs)
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 231, in extract_multimodal_feature
    video_embeds, _ = self.encode_video(inputs['video_paths'])
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 121, in encode_video
    inputs = {ModalityType.VISION: data.load_and_transform_video_data(video_paths, self.device)}
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/ImageBind/data.py"", line 360, in load_and_transform_video_data
    video_clip = frame_sampler(clip[""video""])
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/torch/nn/modules/module.py"", line 1194, in _call_impl
    return forward_call(*input, **kwargs)
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/pytorchvideo/transforms/transforms.py"", line 74, in forward
    return pytorchvideo.transforms.functional.uniform_temporal_subsample(
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/pytorchvideo/transforms/functional.py"", line 37, in uniform_temporal_subsample
    assert num_samples > 0 and t > 0
AssertionError
"
id_1111746540345929730_2019-03-29,,"Traceback (most recent call last):
  File ""/work/mburmest/bachelorarbeit/main.py"", line 175, in classify_model
    results = classify(video, first_prompts, *args)
  File ""/work/mburmest/bachelorarbeit/classification_pandagpt.py"", line 54, in classify_pandagpt
    response = model.generate({
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 279, in generate
    input_embeds = self.prepare_generation_embedding(inputs)
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 245, in prepare_generation_embedding
    feature_embeds = self.extract_multimodal_feature(inputs)
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 231, in extract_multimodal_feature
    video_embeds, _ = self.encode_video(inputs['video_paths'])
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 121, in encode_video
    inputs = {ModalityType.VISION: data.load_and_transform_video_data(video_paths, self.device)}
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/ImageBind/data.py"", line 360, in load_and_transform_video_data
    video_clip = frame_sampler(clip[""video""])
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/torch/nn/modules/module.py"", line 1194, in _call_impl
    return forward_call(*input, **kwargs)
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/pytorchvideo/transforms/transforms.py"", line 74, in forward
    return pytorchvideo.transforms.functional.uniform_temporal_subsample(
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/pytorchvideo/transforms/functional.py"", line 37, in uniform_temporal_subsample
    assert num_samples > 0 and t > 0
AssertionError
"
id_1112141580427816960_2019-03-30,,"Traceback (most recent call last):
  File ""/work/mburmest/bachelorarbeit/main.py"", line 175, in classify_model
    results = classify(video, first_prompts, *args)
  File ""/work/mburmest/bachelorarbeit/classification_pandagpt.py"", line 54, in classify_pandagpt
    response = model.generate({
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 279, in generate
    input_embeds = self.prepare_generation_embedding(inputs)
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 245, in prepare_generation_embedding
    feature_embeds = self.extract_multimodal_feature(inputs)
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 231, in extract_multimodal_feature
    video_embeds, _ = self.encode_video(inputs['video_paths'])
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 121, in encode_video
    inputs = {ModalityType.VISION: data.load_and_transform_video_data(video_paths, self.device)}
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/ImageBind/data.py"", line 360, in load_and_transform_video_data
    video_clip = frame_sampler(clip[""video""])
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/torch/nn/modules/module.py"", line 1194, in _call_impl
    return forward_call(*input, **kwargs)
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/pytorchvideo/transforms/transforms.py"", line 74, in forward
    return pytorchvideo.transforms.functional.uniform_temporal_subsample(
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/pytorchvideo/transforms/functional.py"", line 37, in uniform_temporal_subsample
    assert num_samples > 0 and t > 0
AssertionError
"
id_1112145353409740800_2019-03-31,,"Traceback (most recent call last):
  File ""/work/mburmest/bachelorarbeit/main.py"", line 175, in classify_model
    results = classify(video, first_prompts, *args)
  File ""/work/mburmest/bachelorarbeit/classification_pandagpt.py"", line 54, in classify_pandagpt
    response = model.generate({
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 279, in generate
    input_embeds = self.prepare_generation_embedding(inputs)
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 245, in prepare_generation_embedding
    feature_embeds = self.extract_multimodal_feature(inputs)
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 231, in extract_multimodal_feature
    video_embeds, _ = self.encode_video(inputs['video_paths'])
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 121, in encode_video
    inputs = {ModalityType.VISION: data.load_and_transform_video_data(video_paths, self.device)}
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/ImageBind/data.py"", line 360, in load_and_transform_video_data
    video_clip = frame_sampler(clip[""video""])
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/torch/nn/modules/module.py"", line 1194, in _call_impl
    return forward_call(*input, **kwargs)
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/pytorchvideo/transforms/transforms.py"", line 74, in forward
    return pytorchvideo.transforms.functional.uniform_temporal_subsample(
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/pytorchvideo/transforms/functional.py"", line 37, in uniform_temporal_subsample
    assert num_samples > 0 and t > 0
AssertionError
"
id_1112389232264396804_2019-03-31,,"Traceback (most recent call last):
  File ""/work/mburmest/bachelorarbeit/main.py"", line 175, in classify_model
    results = classify(video, first_prompts, *args)
  File ""/work/mburmest/bachelorarbeit/classification_pandagpt.py"", line 54, in classify_pandagpt
    response = model.generate({
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 279, in generate
    input_embeds = self.prepare_generation_embedding(inputs)
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 245, in prepare_generation_embedding
    feature_embeds = self.extract_multimodal_feature(inputs)
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 231, in extract_multimodal_feature
    video_embeds, _ = self.encode_video(inputs['video_paths'])
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 121, in encode_video
    inputs = {ModalityType.VISION: data.load_and_transform_video_data(video_paths, self.device)}
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/ImageBind/data.py"", line 360, in load_and_transform_video_data
    video_clip = frame_sampler(clip[""video""])
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/torch/nn/modules/module.py"", line 1194, in _call_impl
    return forward_call(*input, **kwargs)
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/pytorchvideo/transforms/transforms.py"", line 74, in forward
    return pytorchvideo.transforms.functional.uniform_temporal_subsample(
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/pytorchvideo/transforms/functional.py"", line 37, in uniform_temporal_subsample
    assert num_samples > 0 and t > 0
AssertionError
"
id_1112601796252442630_2019-04-01,,"Traceback (most recent call last):
  File ""/work/mburmest/bachelorarbeit/main.py"", line 175, in classify_model
    results = classify(video, first_prompts, *args)
  File ""/work/mburmest/bachelorarbeit/classification_pandagpt.py"", line 54, in classify_pandagpt
    response = model.generate({
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 279, in generate
    input_embeds = self.prepare_generation_embedding(inputs)
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 245, in prepare_generation_embedding
    feature_embeds = self.extract_multimodal_feature(inputs)
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 231, in extract_multimodal_feature
    video_embeds, _ = self.encode_video(inputs['video_paths'])
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/openllama.py"", line 121, in encode_video
    inputs = {ModalityType.VISION: data.load_and_transform_video_data(video_paths, self.device)}
  File ""/work/mburmest/bachelorarbeit/PandaGPT/code/model/ImageBind/data.py"", line 360, in load_and_transform_video_data
    video_clip = frame_sampler(clip[""video""])
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/torch/nn/modules/module.py"", line 1194, in _call_impl
    return forward_call(*input, **kwargs)
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/pytorchvideo/transforms/transforms.py"", line 74, in forward
    return pytorchvideo.transforms.functional.uniform_temporal_subsample(
  File ""/home/mburmest/miniconda3/envs/pandagpt/lib/python3.8/site-packages/pytorchvideo/transforms/functional.py"", line 37, in uniform_temporal_subsample
    assert num_samples > 0 and t > 0
AssertionError
"
