id,exception,Stacktrace
id_1169398341420994561_2019-09-04,No columns to parse from file,"Traceback (most recent call last):
  File ""/work/mburmest/bachelorarbeit/main.py"", line 210, in classify_model
    write_to_csv(SOLUTION_PATH_1, [""id"", ""animals"", ""climateactions"", ""consequences"", ""setting"", ""type""], [id_string] + results_1)
  File ""/work/mburmest/bachelorarbeit/main.py"", line 427, in write_to_csv
    df = pd.read_csv(file_path)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1026, in read_csv
    return _read(filepath_or_buffer, kwds)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 620, in _read
    parser = TextFileReader(filepath_or_buffer, **kwds)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1620, in __init__
    self._engine = self._make_engine(f, self.engine)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1898, in _make_engine
    return mapping[engine](f, **self.options)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/c_parser_wrapper.py"", line 93, in __init__
    self._reader = parsers.TextReader(src, **kwds)
  File ""parsers.pyx"", line 581, in pandas._libs.parsers.TextReader.__cinit__
pandas.errors.EmptyDataError: No columns to parse from file
"
id_1170228051717656576_2019-09-07,No columns to parse from file,"Traceback (most recent call last):
  File ""/work/mburmest/bachelorarbeit/main.py"", line 210, in classify_model
    write_to_csv(SOLUTION_PATH_1, [""id"", ""animals"", ""climateactions"", ""consequences"", ""setting"", ""type""], [id_string] + results_1)
  File ""/work/mburmest/bachelorarbeit/main.py"", line 427, in write_to_csv
    df = pd.read_csv(file_path)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1026, in read_csv
    return _read(filepath_or_buffer, kwds)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 620, in _read
    parser = TextFileReader(filepath_or_buffer, **kwds)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1620, in __init__
    self._engine = self._make_engine(f, self.engine)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1898, in _make_engine
    return mapping[engine](f, **self.options)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/c_parser_wrapper.py"", line 93, in __init__
    self._reader = parsers.TextReader(src, **kwds)
  File ""parsers.pyx"", line 581, in pandas._libs.parsers.TextReader.__cinit__
pandas.errors.EmptyDataError: No columns to parse from file
"
id_1171158164282068993_2019-09-09,No columns to parse from file,"Traceback (most recent call last):
  File ""/work/mburmest/bachelorarbeit/main.py"", line 210, in classify_model
    write_to_csv(SOLUTION_PATH_1, [""id"", ""animals"", ""climateactions"", ""consequences"", ""setting"", ""type""], [id_string] + results_1)
  File ""/work/mburmest/bachelorarbeit/main.py"", line 427, in write_to_csv
    df = pd.read_csv(file_path)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1026, in read_csv
    return _read(filepath_or_buffer, kwds)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 620, in _read
    parser = TextFileReader(filepath_or_buffer, **kwds)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1620, in __init__
    self._engine = self._make_engine(f, self.engine)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1898, in _make_engine
    return mapping[engine](f, **self.options)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/c_parser_wrapper.py"", line 93, in __init__
    self._reader = parsers.TextReader(src, **kwds)
  File ""parsers.pyx"", line 581, in pandas._libs.parsers.TextReader.__cinit__
pandas.errors.EmptyDataError: No columns to parse from file
"
id_1174361667334918144_2019-09-18,No columns to parse from file,"Traceback (most recent call last):
  File ""/work/mburmest/bachelorarbeit/main.py"", line 210, in classify_model
    write_to_csv(SOLUTION_PATH_1, [""id"", ""animals"", ""climateactions"", ""consequences"", ""setting"", ""type""], [id_string] + results_1)
  File ""/work/mburmest/bachelorarbeit/main.py"", line 427, in write_to_csv
    df = pd.read_csv(file_path)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1026, in read_csv
    return _read(filepath_or_buffer, kwds)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 620, in _read
    parser = TextFileReader(filepath_or_buffer, **kwds)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1620, in __init__
    self._engine = self._make_engine(f, self.engine)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1898, in _make_engine
    return mapping[engine](f, **self.options)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/c_parser_wrapper.py"", line 93, in __init__
    self._reader = parsers.TextReader(src, **kwds)
  File ""parsers.pyx"", line 581, in pandas._libs.parsers.TextReader.__cinit__
pandas.errors.EmptyDataError: No columns to parse from file
"
id_1176888039328690183_2019-09-25,No columns to parse from file,"Traceback (most recent call last):
  File ""/work/mburmest/bachelorarbeit/main.py"", line 210, in classify_model
    write_to_csv(SOLUTION_PATH_1, [""id"", ""animals"", ""climateactions"", ""consequences"", ""setting"", ""type""], [id_string] + results_1)
  File ""/work/mburmest/bachelorarbeit/main.py"", line 427, in write_to_csv
    df = pd.read_csv(file_path)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1026, in read_csv
    return _read(filepath_or_buffer, kwds)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 620, in _read
    parser = TextFileReader(filepath_or_buffer, **kwds)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1620, in __init__
    self._engine = self._make_engine(f, self.engine)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1898, in _make_engine
    return mapping[engine](f, **self.options)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/c_parser_wrapper.py"", line 93, in __init__
    self._reader = parsers.TextReader(src, **kwds)
  File ""parsers.pyx"", line 581, in pandas._libs.parsers.TextReader.__cinit__
pandas.errors.EmptyDataError: No columns to parse from file
"
id_1177664004707061760_2019-09-27,No columns to parse from file,"Traceback (most recent call last):
  File ""/work/mburmest/bachelorarbeit/main.py"", line 210, in classify_model
    write_to_csv(SOLUTION_PATH_1, [""id"", ""animals"", ""climateactions"", ""consequences"", ""setting"", ""type""], [id_string] + results_1)
  File ""/work/mburmest/bachelorarbeit/main.py"", line 427, in write_to_csv
    df = pd.read_csv(file_path)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1026, in read_csv
    return _read(filepath_or_buffer, kwds)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 620, in _read
    parser = TextFileReader(filepath_or_buffer, **kwds)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1620, in __init__
    self._engine = self._make_engine(f, self.engine)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1898, in _make_engine
    return mapping[engine](f, **self.options)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/c_parser_wrapper.py"", line 93, in __init__
    self._reader = parsers.TextReader(src, **kwds)
  File ""parsers.pyx"", line 581, in pandas._libs.parsers.TextReader.__cinit__
pandas.errors.EmptyDataError: No columns to parse from file
"
id_1177275017874366464_2019-09-26,No columns to parse from file,"Traceback (most recent call last):
  File ""/work/mburmest/bachelorarbeit/main.py"", line 210, in classify_model
    write_to_csv(SOLUTION_PATH_1, [""id"", ""animals"", ""climateactions"", ""consequences"", ""setting"", ""type""], [id_string] + results_1)
  File ""/work/mburmest/bachelorarbeit/main.py"", line 427, in write_to_csv
    df = pd.read_csv(file_path)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1026, in read_csv
    return _read(filepath_or_buffer, kwds)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 620, in _read
    parser = TextFileReader(filepath_or_buffer, **kwds)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1620, in __init__
    self._engine = self._make_engine(f, self.engine)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1898, in _make_engine
    return mapping[engine](f, **self.options)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/c_parser_wrapper.py"", line 93, in __init__
    self._reader = parsers.TextReader(src, **kwds)
  File ""parsers.pyx"", line 581, in pandas._libs.parsers.TextReader.__cinit__
pandas.errors.EmptyDataError: No columns to parse from file
"
id_1178021337052397571_2019-09-28,No columns to parse from file,"Traceback (most recent call last):
  File ""/work/mburmest/bachelorarbeit/main.py"", line 210, in classify_model
    write_to_csv(SOLUTION_PATH_1, [""id"", ""animals"", ""climateactions"", ""consequences"", ""setting"", ""type""], [id_string] + results_1)
  File ""/work/mburmest/bachelorarbeit/main.py"", line 427, in write_to_csv
    df = pd.read_csv(file_path)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1026, in read_csv
    return _read(filepath_or_buffer, kwds)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 620, in _read
    parser = TextFileReader(filepath_or_buffer, **kwds)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1620, in __init__
    self._engine = self._make_engine(f, self.engine)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1898, in _make_engine
    return mapping[engine](f, **self.options)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/c_parser_wrapper.py"", line 93, in __init__
    self._reader = parsers.TextReader(src, **kwds)
  File ""parsers.pyx"", line 581, in pandas._libs.parsers.TextReader.__cinit__
pandas.errors.EmptyDataError: No columns to parse from file
"
id_1178438956695851008_2019-09-29,No columns to parse from file,"Traceback (most recent call last):
  File ""/work/mburmest/bachelorarbeit/main.py"", line 210, in classify_model
    write_to_csv(SOLUTION_PATH_1, [""id"", ""animals"", ""climateactions"", ""consequences"", ""setting"", ""type""], [id_string] + results_1)
  File ""/work/mburmest/bachelorarbeit/main.py"", line 427, in write_to_csv
    df = pd.read_csv(file_path)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1026, in read_csv
    return _read(filepath_or_buffer, kwds)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 620, in _read
    parser = TextFileReader(filepath_or_buffer, **kwds)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1620, in __init__
    self._engine = self._make_engine(f, self.engine)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1898, in _make_engine
    return mapping[engine](f, **self.options)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/c_parser_wrapper.py"", line 93, in __init__
    self._reader = parsers.TextReader(src, **kwds)
  File ""parsers.pyx"", line 581, in pandas._libs.parsers.TextReader.__cinit__
pandas.errors.EmptyDataError: No columns to parse from file
"
id_1190117228341055489_2019-11-01,No columns to parse from file,"Traceback (most recent call last):
  File ""/work/mburmest/bachelorarbeit/main.py"", line 210, in classify_model
    write_to_csv(SOLUTION_PATH_1, [""id"", ""animals"", ""climateactions"", ""consequences"", ""setting"", ""type""], [id_string] + results_1)
  File ""/work/mburmest/bachelorarbeit/main.py"", line 427, in write_to_csv
    df = pd.read_csv(file_path)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1026, in read_csv
    return _read(filepath_or_buffer, kwds)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 620, in _read
    parser = TextFileReader(filepath_or_buffer, **kwds)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1620, in __init__
    self._engine = self._make_engine(f, self.engine)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/readers.py"", line 1898, in _make_engine
    return mapping[engine](f, **self.options)
  File ""/home/mburmest/miniconda3/envs/videochatgpt/lib/python3.10/site-packages/pandas/io/parsers/c_parser_wrapper.py"", line 93, in __init__
    self._reader = parsers.TextReader(src, **kwds)
  File ""parsers.pyx"", line 581, in pandas._libs.parsers.TextReader.__cinit__
pandas.errors.EmptyDataError: No columns to parse from file
"
