id,animals,climateactions,consequences,setting,type
id_1176207607985561600_2019-09-23,Other Animals|Pets|Polar Bears|Invertebrates|Farm Animals|Land Mammals|Insects|Sea Mammals|Fish|Amphibians|Reptiles,Other Climate Action,no class found,"No Setting|Forest, Jungle",Meme
id_1174412866780377090_2019-09-18,ALL,Other Climate Action,Economic Consequences|Covid|Floods,no class found,Meme
id_1119310822172499968_2019-04-19,Invertebrates|Birds|Fish|Amphibians|Reptiles,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1193800796934148096_2019-11-11,ALL,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,"No Setting|Forest, Jungle",Meme
id_1108135854357135361_2019-03-19,Invertebrates|Birds|Fish|Amphibians|Reptiles,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1148694878764883969_2019-07-09,Invertebrates|Birds|Fish|Amphibians|Reptiles,Protests|Natural Gas,Economic Consequences|Covid|Floods,no class found,Meme
id_1118510476948910081_2019-04-19,ALL,Natural Gas,no class found,no class found,Meme
id_1105008899306881026_2019-03-11,Invertebrates|Birds|Fish|Amphibians|Reptiles,Other Climate Action,Economic Consequences|Covid|Floods,no class found,Meme
id_1155813540394987521_2019-07-29,ALL,Other Climate Action,no class found,no class found,Meme
id_1115233370953408512_2019-04-08,Amphibians|Invertebrates|Farm Animals,Other Climate Action,no class found,no class found,Meme
id_1171531375838552069_2019-09-10,ALL,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1122352836564738050_2019-04-28,Invertebrates|Birds|Fish|Amphibians|Reptiles,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1173970597316972544_2019-09-17,ALL,Other Climate Action,Economic Consequences|Covid|Floods,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1196169741473341441_2019-11-17,ALL,Other Climate Action,Economic Consequences|Covid|Floods,"No Setting|Forest, Jungle",Meme
id_1112791850937733127_2019-04-01,ALL,Protests|Natural Gas,Economic Consequences|Covid|Floods,"Other Nature|Forest, Jungle",Meme
id_1151240317963767818_2019-07-16,ALL,Natural Gas,Economic Consequences|Covid|Floods,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1173635507193954304_2019-09-16,ALL,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,"No Setting|Forest, Jungle",Meme
id_1144378558204112896_2019-06-27,ALL,Coal|Wind Energy|Solar Energy|Politics|Other Climate Action|Natural Gas,no class found,no class found,Meme
id_1168668728915107847_2019-09-02,ALL,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,"No Setting|Forest, Jungle",Meme
id_1154821483857772544_2019-07-26,Amphibians|Invertebrates|Farm Animals,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,Other Setting,Meme
id_1200131561703845890_2019-11-28,ALL,Natural Gas,Economic Consequences|Covid|Floods,no class found,Meme
id_1154680274782806016_2019-07-26,ALL,Natural Gas,Economic Consequences|Covid|Floods,"No Setting|Forest, Jungle",Meme
id_1168597393954263040_2019-09-02,ALL,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1152765331523473409_2019-07-21,ALL,Natural Gas,Economic Consequences|Covid|Floods,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1102030978858381312_2019-03-03,ALL,Natural Gas,Economic Consequences|Covid|Floods,Residential Area,Meme
id_1152586872767561729_2019-07-20,ALL,Other Climate Action,Drought|Covid,"No Setting|Forest, Jungle",Meme
id_1146342455173877760_2019-07-03,ALL,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1192114242184503296_2019-11-06,ALL,Other Climate Action,Economic Consequences|Covid|Floods,"No Setting|Forest, Jungle",Meme
id_1175177611745484800_2019-09-20,ALL,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1172410878949347329_2019-09-13,ALL,Other Climate Action,Economic Consequences|Covid|Floods,"No Setting|Forest, Jungle",Meme
id_1152533036254334977_2019-07-20,ALL,Protests|Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,Rural,Meme
id_1143405101156954113_2019-06-25,ALL,Protests|Natural Gas,Economic Consequences|Covid|Floods,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1153908377199583232_2019-07-24,ALL,Other Climate Action,Economic Consequences|Covid|Floods,"Other Setting|Industrial Area|Forest, Jungle",Meme
id_1155654237516443648_2019-07-29,Invertebrates|Birds|Fish|Amphibians|Reptiles,Protests|Natural Gas,Economic Consequences|Covid|Floods,no class found,Meme
id_1199333593392111624_2019-11-26,ALL,Natural Gas,no class found,ALL,Meme
id_1106943315344347137_2019-03-16,Invertebrates|Birds|Fish|Amphibians|Reptiles,Other Climate Action,Economic Consequences|Covid|Floods,no class found,Meme
id_1114260383722692608_2019-04-05,ALL,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,"No Setting|Forest, Jungle",Meme
id_1146404720707362817_2019-07-03,ALL,Other Climate Action,no class found,no class found,Meme
id_1168118375450460160_2019-09-01,Invertebrates|Birds|Fish|Amphibians|Reptiles,Protests|Natural Gas,no class found,no class found,Meme
id_1121533384428331008_2019-04-25,ALL,Natural Gas,no class found,no class found,Meme
id_1200505756556103681_2019-11-29,ALL,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1176592484727582720_2019-09-24,Invertebrates|Birds|Fish|Amphibians|Reptiles,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,"Forest, Jungle|Outer Space",Meme
id_1169588045647159296_2019-09-05,Amphibians|Invertebrates|Farm Animals,No,Melting Ice|Other Extreme Weather Events|Covid,"No Setting|Forest, Jungle",Meme
id_1156431160840376320_2019-07-31,ALL,Natural Gas,Economic Consequences|Covid|Floods,no class found,Meme
id_1196904284488552448_2019-11-19,Invertebrates|Birds|Fish|Amphibians|Reptiles,Protests|Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1192394092547887104_2019-11-07,ALL,No,no class found,ALL,Meme
id_1155273137526734849_2019-07-28,ALL,Natural Gas,Biodiversity Loss|Covid,"Forest, Jungle",Meme
id_1193789054803836929_2019-11-11,ALL,Natural Gas,no class found,"Other Nature|Forest, Jungle",Meme
id_1113799335051849729_2019-04-04,ALL,Natural Gas,Economic Consequences|Covid|Floods,"No Setting|Forest, Jungle",Meme
id_1113798773677940736_2019-04-04,ALL,Other,Economic Consequences|Covid|Floods,"No Setting|Forest, Jungle",Meme
id_1116015214036545542_2019-04-10,ALL,Protests|Natural Gas,Economic Consequences|Covid|Floods,no class found,Meme
id_1198315767919497216_2019-11-23,ALL,Natural Gas,ALL,"No Setting|Forest, Jungle",Meme
id_1121046772112142336_2019-04-24,Invertebrates|Birds|Fish|Amphibians|Reptiles,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,Residential Area,Meme
id_1193985539688583168_2019-11-11,ALL,Other Climate Action,no class found,Residential Area,Meme
id_1170763102603923456_2019-09-08,Invertebrates|Birds|Fish|Amphibians|Reptiles,Other Climate Action,no class found,no class found,Meme
id_1191207722848522241_2019-11-04,Invertebrates|Birds|Fish|Amphibians|Reptiles,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1106312064216100864_2019-03-14,ALL,Other Climate Action,Economic Consequences|Covid|Floods,"No Setting|Forest, Jungle",Meme
id_1122108393546756096_2019-04-27,ALL,Natural Gas,Economic Consequences|Covid|Floods,Rural,Meme
id_1173257005638664198_2019-09-15,Invertebrates|Birds|Fish|Amphibians|Reptiles,Other Climate Action,Economic Consequences|Covid|Floods,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1112347908546818048_2019-03-31,ALL,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1102008822296530945_2019-03-03,ALL,Other Climate Action,Economic Consequences|Covid|Floods,"No Setting|Forest, Jungle",Meme
id_1122609973056327680_2019-04-28,Invertebrates|Birds|Fish|Amphibians|Reptiles,Protests|Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,"No Setting|Forest, Jungle",Meme
id_1109404156115238912_2019-03-23,ALL,Other Climate Action,Economic Consequences|Covid|Floods,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1196441333910642688_2019-11-18,no class found,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1103910329799475200_2019-03-08,ALL,Other Climate Action,no class found,no class found,Meme
id_1116419390486876160_2019-04-11,ALL,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1112011664700784640_2019-03-30,ALL,Natural Gas,Economic Consequences|Covid|Floods,no class found,Meme
id_1169221463301328896_2019-09-04,Invertebrates|Birds|Fish|Amphibians|Reptiles,Natural Gas,Economic Consequences|Covid|Floods,no class found,Meme
id_1153748747748282368_2019-07-23,Invertebrates|Birds|Fish|Amphibians|Reptiles,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1176223635025072131_2019-09-23,ALL,Other Climate Action,Economic Consequences|Covid|Floods,Residential Area,Meme
id_1168757673703235584_2019-09-03,ALL,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1177276400908341249_2019-09-26,ALL,Natural Gas,Economic Consequences|Covid|Floods,no class found,Meme
id_1108826003793563648_2019-03-21,ALL,Protests|Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,"Other Nature|Forest, Jungle",Meme
id_1177651396306505729_2019-09-27,Invertebrates|Birds|Fish|Amphibians|Reptiles,Other Climate Action,Economic Consequences|Covid|Floods,"No Setting|Forest, Jungle",Meme
id_1199534300221210624_2019-11-27,Invertebrates|Birds|Fish|Amphibians|Reptiles,no class found,Melting Ice|Other Extreme Weather Events|Covid,"No Setting|Forest, Jungle",Meme
id_1169271539226861570_2019-09-04,ALL,Natural Gas,Economic Consequences|Covid|Floods,"No Setting|Forest, Jungle",Meme
id_1150453070486110208_2019-07-14,ALL,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,"No Setting|Forest, Jungle",Meme
id_1173943897967550465_2019-09-17,ALL,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1197572527226114048_2019-11-21,Invertebrates|Birds|Fish|Amphibians|Reptiles,no class found,no class found,no class found,Meme
id_1177288935170592768_2019-09-26,Invertebrates|Birds|Fish|Amphibians|Reptiles,Other Climate Action,Economic Consequences|Covid|Floods,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1149662547903074307_2019-07-12,ALL,Natural Gas,Economic Consequences|Covid|Floods,no class found,Meme
id_1197556359987904512_2019-11-21,ALL,Other Climate Action,no class found,"No Setting|Forest, Jungle",Meme
id_1193326539862990855_2019-11-10,ALL,Protests|Natural Gas,Economic Consequences|Covid|Floods,no class found,Meme
id_1177654432118575104_2019-09-27,ALL,Other Climate Action,Other Consequence|Covid,"Other Setting|Industrial Area|Forest, Jungle",Meme
id_1111779867337453568_2019-03-29,Amphibians,Solar Energy,no class found,"Forest, Jungle",Meme
id_1170946275094564864_2019-09-09,ALL,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1151448990573088769_2019-07-17,ALL,Other Climate Action,Other Consequence|Covid,"Other Nature|Forest, Jungle",Meme
id_1120455439072866306_2019-04-22,ALL,Other Climate Action,Economic Consequences|Covid|Floods,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1175456051551965184_2019-09-21,ALL,Natural Gas,Covid,no class found,Meme
id_1116685296458977281_2019-04-12,ALL,No,Rising Temperature,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1192559123994435586_2019-11-07,ALL,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,"Other Setting|Ocean|Indoor Space|Residential Area|Arctic, Antarctica|Other Nature|No Setting|Commercial Area|Industrial Area|Forest, Jungle|Agricultural|Coastal|Rural|Outer Space",Meme
id_1169370403455807488_2019-09-04,ALL,Natural Gas,Economic Consequences|Covid|Floods,"Other Nature|Forest, Jungle",Meme
id_1122206448128155648_2019-04-27,ALL,No,Economic Consequences|Covid|Floods,no class found,Meme
id_1108702178120794112_2019-03-21,ALL,no class found,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1172673655303790593_2019-09-14,ALL,Natural Gas,no class found,no class found,Meme
id_1107298728522801152_2019-03-17,ALL,Coal|Wind Energy|Solar Energy|Politics|Other Climate Action|Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,ALL,Meme
id_1148296173125591046_2019-07-08,ALL,No,no class found,no class found,Meme
id_1103018161400659968_2019-03-05,ALL,Protests|Natural Gas,Economic Consequences|Covid|Floods,no class found,Meme
id_1190966754241138689_2019-11-03,ALL,Other Climate Action,Economic Consequences|Covid|Floods,no class found,Meme
id_1192564052297428992_2019-11-07,ALL,Other Climate Action,Economic Consequences|Covid|Floods,no class found,Meme
id_1168784522365865985_2019-09-03,ALL,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,"No Setting|Forest, Jungle",Meme
id_1197893335509295105_2019-11-22,ALL,Protests|Natural Gas,Drought|Covid,"No Setting|Forest, Jungle",Meme
id_1105211614708539392_2019-03-11,ALL,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1170080294323589120_2019-09-06,ALL,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,Residential Area,Meme
id_1114288419339943941_2019-04-05,ALL,no class found,Economic Consequences|Health,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1200394057786306561_2019-11-29,ALL,Other Climate Action,Economic Consequences|Covid|Floods,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1198333571053830144_2019-11-23,ALL,Other Climate Action,Economic Consequences|Covid|Floods,no class found,Meme
id_1191258267495882752_2019-11-04,Amphibians,Natural Gas,no class found,"Forest, Jungle",Meme
id_1156182798258122752_2019-07-30,ALL,Natural Gas,Economic Consequences|Covid|Floods,"No Setting|Forest, Jungle",Meme
id_1195282743288115200_2019-11-15,ALL,Natural Gas,Economic Consequences|Covid|Floods,no class found,Meme
id_1115364921557041152_2019-04-08,Other Animals|Pets|Polar Bears|Invertebrates|Farm Animals|Land Mammals|Insects|Sea Mammals|Fish|Amphibians|Reptiles,Other Climate Action,no class found,no class found,Meme
id_1169210372546543618_2019-09-04,ALL,Natural Gas,Economic Consequences|Covid|Floods,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1147224478205775872_2019-07-05,ALL,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1171707348957577216_2019-09-11,ALL,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,"No Setting|Forest, Jungle",Meme
id_1191195722877751297_2019-11-04,Other Animals|Pets|Polar Bears|Invertebrates|Farm Animals|Land Mammals|Insects|Sea Mammals|Fish|Amphibians|Reptiles,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,"No Setting|Forest, Jungle",Meme
id_1146137808119193600_2019-07-02,ALL,Other Climate Action,Economic Consequences|Covid|Floods,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1111809114617843712_2019-03-30,ALL,Other Climate Action,no class found,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1108362094976524290_2019-03-20,Invertebrates|Birds|Fish|Amphibians|Reptiles,Natural Gas,Economic Consequences|Covid|Floods,"No Setting|Forest, Jungle",Meme
id_1195234595635105793_2019-11-15,ALL,Other Climate Action,Economic Consequences|Covid|Floods,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1151472329857425408_2019-07-17,ALL,Other Climate Action,Economic Consequences|Covid|Floods,"No Setting|Forest, Jungle",Meme
id_1200138773503381505_2019-11-28,ALL,Other Climate Action,no class found,no class found,Meme
id_1193825723397660672_2019-11-11,ALL,Natural Gas,Economic Consequences|Covid|Floods,Residential Area,Meme
id_1200472652088922112_2019-11-29,ALL,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,"No Setting|Forest, Jungle",Meme
id_1112851980047798272_2019-04-01,Invertebrates|Birds|Fish|Amphibians|Reptiles,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1103047787862728706_2019-03-05,Invertebrates|Birds|Fish|Amphibians|Reptiles,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,Rural,Meme
id_1110921851394555905_2019-03-27,Invertebrates|Birds|Fish|Amphibians|Reptiles,Other Climate Action,Economic Consequences|Covid|Floods,no class found,Meme
id_1195238678551027712_2019-11-15,ALL,Natural Gas,ALL,"No Setting|Forest, Jungle",Meme
id_1169327878825271296_2019-09-04,Invertebrates|Birds|Fish|Amphibians|Reptiles,Other Climate Action,Economic Consequences|Covid|Floods,Residential Area,Meme
id_1194920397101129729_2019-11-14,ALL,Natural Gas,Economic Consequences|Covid|Floods,"No Setting|Forest, Jungle",Meme
