id,animals,climateactions,consequences,setting,type
id_1100441341954277376_2019-03-01,No,No,No,No setting,Event invitations
id_1101296834721517569_2019-03-01,Pets,Politics,Floods,No setting,Illustration
id_1101347367947767808_2019-03-01,No,No,Floods,No setting,Event invitations
id_1101361414898278400_2019-03-01,No,No,No,No setting,Infographic
id_1101389220902367232_2019-03-01,Pets,No,No,No setting,Event invitations
id_1101392019467853824_2019-03-01,No,Politics,Floods,No setting,Illustration
id_1101396742698926080_2019-03-01,Pets,No,Floods,No setting,Event invitations
id_1101404827513282560_2019-03-01,No,Politics,Floods,No setting,Event invitations
id_1101430162393047040_2019-03-01,No,No,No,No setting,Event invitations
id_1101447739307687936_2019-03-01,No,No,Floods,No setting,Event invitations
id_1101451536939520000_2019-03-01,No,Politics,No,No setting,Infographic
id_1101455885535072256_2019-03-01,Pets,Politics,Floods,No setting,Event invitations
id_1101456527066570753_2019-03-01,No,No,Floods,No setting,Event invitations
id_1101460640600899584_2019-03-01,No,Politics,Floods,No setting,Event invitations
id_1101475958543011841_2019-03-01,Pets,Politics,Floods,No setting,Event invitations
id_1101477888686284801_2019-03-01,No,No,No,No setting,Event invitations
id_1101480068637958145_2019-03-01,No,No,Floods,No setting,Event invitations
id_1101484858700898306_2019-03-01,Pets,No,Floods,No setting,Event invitations
id_1101485580418994176_2019-03-01,Pets,Politics,Floods,No setting,Event invitations
id_1101489934240804865_2019-03-01,No,Politics,No,No setting,Event invitations
id_1101492760975237121_2019-03-01,No,Politics,Floods,No setting,Event invitations
id_1101494942864760833_2019-03-01,No,Politics,Floods,No setting,Event invitations
id_1101497015987523585_2019-03-01,No,Politics,Floods,No setting,Event invitations
id_1101500122922475520_2019-03-01,Pets,No,No,No setting,Event invitations
id_1101503270181310464_2019-03-01,Pets,Politics,Floods,No setting,Screenshot
id_1101504212884692992_2019-03-01,Pets,Politics,Floods,No setting,Event invitations
id_1101511689046904834_2019-03-01,Pets,Politics,Floods,No setting,Event invitations
id_1101517316968214528_2019-03-01,No,Politics,Floods,No setting,Event invitations
id_1101527292608741377_2019-03-01,No,No,No,No setting,Event invitations
id_1101529043529170946_2019-03-01,No,Politics,Floods,No setting,Event invitations
id_1101532532682698752_2019-03-01,Polar Bears,Politics,Floods,No setting,Event invitations
id_1101532958035447809_2019-03-01,Pets,No,No,No setting,Event invitations
id_1101533785760227329_2019-03-01,No,No,No,No setting,Event invitations
id_1101536404880965632_2019-03-01,No,No,No,No setting,Event invitations
id_1101538597994401792_2019-03-01,Pets,No,No,No setting,Event invitations
id_1101538799383789570_2019-03-01,No,Politics,Floods,No setting,Meme
id_1101539464990679041_2019-03-01,No,Politics,Floods,No setting,Event invitations
id_1101539570410287105_2019-03-01,No,No,Floods,No setting,Event invitations
id_1101543279169101826_2019-03-01,No,No,Floods,No setting,Event invitations
id_1101548216233979904_2019-03-01,No,No,No,No setting,Event invitations
id_1101548710201159680_2019-03-01,No,No,Floods,No setting,Event invitations
